candidate,office,district,party,county,precinct,eslate,escan,absentee_mail,absentee,votes
,Straight Party,,REP,McCreary,Stearns,29,44,,,73
,Straight Party,,DEM,McCreary,Stearns,7,13,,,20
"Harold ""Hal"" Rogers",U.S. House,5,,McCreary,Stearns,109,218,,,327
Kenneth S. Stepp,U.S. House,5,,McCreary,Stearns,24,31,,,55
"George Maxwell ""Max"" Wise",State Senate,16,,McCreary,Stearns,104,197,,,301
Ken Upchurch,State Representative,52,,McCreary,Stearns,97,184,,,281
Dean Sumpter,State Representative,52,,McCreary,Stearns,37,61,,,98
,Straight Party,,REP,McCreary,Revelo,21,48,,,69
,Straight Party,,DEM,McCreary,Revelo,4,12,,,16
"Harold ""Hal"" Rogers",U.S. House,5,,McCreary,Revelo,100,240,,,340
Kenneth S. Stepp,U.S. House,5,,McCreary,Revelo,12,28,,,40
"George Maxwell ""Max"" Wise",State Senate,16,,McCreary,Revelo,86,215,,,301
Ken Upchurch,State Representative,52,,McCreary,Revelo,90,223,,,313
Dean Sumpter,State Representative,52,,McCreary,Revelo,24,45,,,69
,Straight Party,,REP,McCreary,Strunk,39,45,,,84
,Straight Party,,DEM,McCreary,Strunk,7,5,,,12
"Harold ""Hal"" Rogers",U.S. House,5,,McCreary,Strunk,125,130,,,255
Kenneth S. Stepp,U.S. House,5,,McCreary,Strunk,18,11,,,29
"George Maxwell ""Max"" Wise",State Senate,16,,McCreary,Strunk,120,113,,,233
Ken Upchurch,State Representative,52,,McCreary,Strunk,111,108,,,219
Dean Sumpter,State Representative,52,,McCreary,Strunk,29,27,,,56
,Straight Party,,REP,McCreary,West Pine Knot,20,16,,,36
,Straight Party,,DEM,McCreary,West Pine Knot,0,1,,,1
"Harold ""Hal"" Rogers",U.S. House,5,,McCreary,West Pine Knot,49,35,,,84
Kenneth S. Stepp,U.S. House,5,,McCreary,West Pine Knot,4,2,,,6
"George Maxwell ""Max"" Wise",State Senate,16,,McCreary,West Pine Knot,39,28,,,67
Ken Upchurch,State Representative,52,,McCreary,West Pine Knot,40,29,,,69
Dean Sumpter,State Representative,52,,McCreary,West Pine Knot,12,5,,,17
,Straight Party,,REP,McCreary,East Pine Knot,40,166,,,206
,Straight Party,,DEM,McCreary,East Pine Knot,5,25,,,30
"Harold ""Hal"" Rogers",U.S. House,5,,McCreary,East Pine Knot,137,469,,,606
Kenneth S. Stepp,U.S. House,5,,McCreary,East Pine Knot,19,68,,,87
"George Maxwell ""Max"" Wise",State Senate,16,,McCreary,East Pine Knot,127,464,,,591
Ken Upchurch,State Representative,52,,McCreary,East Pine Knot,124,446,,,570
Dean Sumpter,State Representative,52,,McCreary,East Pine Knot,30,93,,,123
,Straight Party,,REP,McCreary,Bethel,5,59,,,64
,Straight Party,,DEM,McCreary,Bethel,1,9,,,10
"Harold ""Hal"" Rogers",U.S. House,5,,McCreary,Bethel,36,179,,,215
Kenneth S. Stepp,U.S. House,5,,McCreary,Bethel,4,20,,,24
"George Maxwell ""Max"" Wise",State Senate,16,,McCreary,Bethel,29,153,,,182
Ken Upchurch,State Representative,52,,McCreary,Bethel,29,157,,,186
Dean Sumpter,State Representative,52,,McCreary,Bethel,9,33,,,42
,Straight Party,,REP,McCreary,ELM,25,41,,,66
,Straight Party,,DEM,McCreary,ELM,5,1,,,6
"Harold ""Hal"" Rogers",U.S. House,5,,McCreary,ELM,63,111,,,174
Kenneth S. Stepp,U.S. House,5,,McCreary,ELM,6,5,,,11
"George Maxwell ""Max"" Wise",State Senate,16,,McCreary,ELM,59,95,,,154
Ken Upchurch,State Representative,52,,McCreary,ELM,60,106,,,166
Dean Sumpter,State Representative,52,,McCreary,ELM,12,4,,,16
,Straight Party,,REP,McCreary,North Whitley,13,81,,,94
,Straight Party,,DEM,McCreary,North Whitley,6,17,,,23
