candidate,office,district,party,county,precinct,eslate,escan,absentee_mail,absentee,votes
,Straight Party,,REP,Wayne,Monticello #1,0,63,,,63
,Straight Party,,DEM,Wayne,Monticello #1,0,17,,,17
"Harold ""Hal"" Rogers",U.S. House,5,REP,Wayne,Monticello #1,0,199,,,199
Kenneth S. Stepp,U.S. House,5,DEM,Wayne,Monticello #1,0,65,,,65
"George Maxwell ""Max"" Wise",State Senate,16,REP,Wayne,Monticello #1,0,195,,,195
Ken Upchurch,State Representative,52,REP,Wayne,Monticello #1,0,169,,,169
Dean Sumpter,State Representative,52,DEM,Wayne,Monticello #1,0,108,,,108
,Straight Party,,REP,Wayne,Monticello #2,0,36,,,36
,Straight Party,,DEM,Wayne,Monticello #2,0,16,,,16
"Harold ""Hal"" Rogers",U.S. House,5,REP,Wayne,Monticello #2,0,135,,,135
Kenneth S. Stepp,U.S. House,5,DEM,Wayne,Monticello #2,0,34,,,34
"George Maxwell ""Max"" Wise",State Senate,16,REP,Wayne,Monticello #2,0,113,,,113
Ken Upchurch,State Representative,52,REP,Wayne,Monticello #2,0,95,,,95
Dean Sumpter,State Representative,52,DEM,Wayne,Monticello #2,0,78,,,78
,Straight Party,,REP,Wayne,Colletts,0,115,,,115
,Straight Party,,DEM,Wayne,Colletts,0,32,,,32
"Harold ""Hal"" Rogers",U.S. House,5,REP,Wayne,Colletts,0,371,,,371
Kenneth S. Stepp,U.S. House,5,DEM,Wayne,Colletts,0,96,,,96
"George Maxwell ""Max"" Wise",State Senate,16,REP,Wayne,Colletts,0,324,,,324
Ken Upchurch,State Representative,52,REP,Wayne,Colletts,0,289,,,289
Dean Sumpter,State Representative,52,DEM,Wayne,Colletts,0,179,,,179
,Straight Party,,REP,Wayne,Monticello #1-A,0,47,,,47
,Straight Party,,DEM,Wayne,Monticello #1-A,0,16,,,16
"Harold ""Hal"" Rogers",U.S. House,5,REP,Wayne,Monticello #1-A,0,177,,,177
Kenneth S. Stepp,U.S. House,5,DEM,Wayne,Monticello #1-A,0,45,,,45
"George Maxwell ""Max"" Wise",State Senate,16,REP,Wayne,Monticello #1-A,0,161,,,161
Ken Upchurch,State Representative,52,REP,Wayne,Monticello #1-A,0,151,,,151
Dean Sumpter,State Representative,52,DEM,Wayne,Monticello #1-A,0,84,,,84
,Straight Party,,REP,Wayne,Eadsville,0,39,,,39
,Straight Party,,DEM,Wayne,Eadsville,0,14,,,14
"Harold ""Hal"" Rogers",U.S. House,5,REP,Wayne,Eadsville,0,133,,,133
Kenneth S. Stepp,U.S. House,5,DEM,Wayne,Eadsville,0,37,,,37
"George Maxwell ""Max"" Wise",State Senate,16,REP,Wayne,Eadsville,0,120,,,120
Ken Upchurch,State Representative,52,REP,Wayne,Eadsville,0,94,,,94
Dean Sumpter,State Representative,52,DEM,Wayne,Eadsville,0,75,,,75
,Straight Party,,REP,Wayne,Elk Creek,0,69,,,69
,Straight Party,,DEM,Wayne,Elk Creek,0,26,,,26
"Harold ""Hal"" Rogers",U.S. House,5,REP,Wayne,Elk Creek,0,309,,,309
Kenneth S. Stepp,U.S. House,5,DEM,Wayne,Elk Creek,0,87,,,87
"George Maxwell ""Max"" Wise",State Senate,16,REP,Wayne,Elk Creek,0,280,,,280
Ken Upchurch,State Representative,52,REP,Wayne,Elk Creek,0,237,,,237
Dean Sumpter,State Representative,52,DEM,Wayne,Elk Creek,0,167,,,167
,Straight Party,,REP,Wayne,Stop,0,71,,,71
,Straight Party,,DEM,Wayne,Stop,0,16,,,16
"Harold ""Hal"" Rogers",U.S. House,5,REP,Wayne,Stop,0,248,,,248
Kenneth S. Stepp,U.S. House,5,DEM,Wayne,Stop,0,35,,,35
"George Maxwell ""Max"" Wise",State Senate,16,REP,Wayne,Stop,0,212,,,212
Ken Upchurch,State Representative,52,REP,Wayne,Stop,0,196,,,196
Dean Sumpter,State Representative,52,DEM,Wayne,Stop,0,88,,,88
,Straight Party,,REP,Wayne,Mullentown,0,91,,,91
,Straight Party,,DEM,Wayne,Mullentown,0,16,,,16
"Harold ""Hal"" Rogers",U.S. House,5,REP,Wayne,Mullentown,0,334,,,334
Kenneth S. Stepp,U.S. House,5,DEM,Wayne,Mullentown,0,65,,,65
"George Maxwell ""Max"" Wise",State Senate,16,REP,Wayne,Mullentown,0,279,,,279
Ken Upchurch,State Representative,52,REP,Wayne,Mullentown,0,297,,,297
