candidate,office,district,party,county,precinct,eslate,escan,absentee_mail,absentee,votes
,Straight Party,,REP,Butler,Absentee,,,38,78,116
,Straight Party,,DEM,Butler,Absentee,,,9,21,30
S Brett Guthrie,U.S. House,2,,Butler,Absentee,,,67,157,224
Hank Linderman,U.S. House,2,,Butler,Absentee,,,13,37,50
Thomas A Loecken,U.S. House,2,,Butler,Absentee,,,1,3,4
C B Embry Jr.,State Senate,6,,Butler,Absentee,,,70,167,237
Crystal Chappell,State Senate,6,,Butler,Absentee,,,12,35,47
Steve Sheldon,State Representative,17,,Butler,Absentee,,,60,159,219
Malcolm Cherry,State Representative,17,,Butler,Absentee,,,19,41,60
,Straight Party,,REP,Butler,E Morgantown,2,78,,,80
,Straight Party,,DEM,Butler,E Morgantown,3,22,,,25
S Brett Guthrie,U.S. House,2,,Butler,E Morgantown,18,179,,,197
Hank Linderman,U.S. House,2,,Butler,E Morgantown,9,52,,,61
Thomas A Loecken,U.S. House,2,,Butler,E Morgantown,0,4,,,4
C B Embry Jr.,State Senate,6,,Butler,E Morgantown,21,196,,,217
Crystal Chappell,State Senate,6,,Butler,E Morgantown,9,46,,,55
Steve Sheldon,State Representative,17,,Butler,E Morgantown,15,170,,,185
Malcolm Cherry,State Representative,17,,Butler,E Morgantown,12,166,,,178
,Straight Party,,REP,Butler,W Morgantown,0,105,,,105
,Straight Party,,DEM,Butler,W Morgantown,0,32,,,32
S Brett Guthrie,U.S. House,2,,Butler,W Morgantown,5,239,,,244
Hank Linderman,U.S. House,2,,Butler,W Morgantown,1,78,,,79
Thomas A Loecken,U.S. House,2,,Butler,W Morgantown,0,5,,,5
C B Embry Jr.,State Senate,6,,Butler,W Morgantown,6,261,,,267
Crystal Chappell,State Senate,6,,Butler,W Morgantown,0,74,,,74
Steve Sheldon,State Representative,17,,Butler,W Morgantown,3,228,,,231
Malcolm Cherry,State Representative,17,,Butler,W Morgantown,3,100,,,103
,Straight Party,,REP,Butler,S Second,0,195,,,195
,Straight Party,,DEM,Butler,S Second,0,26,,,26
S Brett Guthrie,U.S. House,2,,Butler,S Second,0,379,,,379
Hank Linderman,U.S. House,2,,Butler,S Second,0,57,,,57
Thomas A Loecken,U.S. House,2,,Butler,S Second,0,6,,,6
C B Embry Jr.,State Senate,6,,Butler,S Second,0,379,,,379
Crystal Chappell,State Senate,6,,Butler,S Second,0,65,,,65
Steve Sheldon,State Representative,17,,Butler,S Second,0,366,,,366
Malcolm Cherry,State Representative,17,,Butler,S Second,0,81,,,81
,Straight Party,,REP,Butler,N Second,0,215,,,215
,Straight Party,,DEM,Butler,N Second,0,48,,,48
S Brett Guthrie,U.S. House,2,,Butler,N Second,0,493,,,493
Hank Linderman,U.S. House,2,,Butler,N Second,0,109,,,109
Thomas A Loecken,U.S. House,2,,Butler,N Second,0,9,,,9
C B Embry Jr.,State Senate,6,,Butler,N Second,0,528,,,528
