county,precinct,office,district,candidate,party,eslate ,escan,votes
Jessamine,Absentee Mail-In,Straight Party,,,REP,,,21
Jessamine,Absentee Mail-In,Straight Party,,,DEM,,,28
Jessamine,Absentee Mail-In,Straight Party,,,LIB,,,0
Jessamine,Absentee Mail-In,U.S. House,6,Andy Barr,,,,72
Jessamine,Absentee Mail-In,U.S. House,6,Amy McGrath,,,,70
Jessamine,Absentee Mail-In,U.S. House,6,Frank Harris,,,,0
Jessamine,Absentee Mail-In,U.S. House,6,Rikka L. Wallin,,,,0
Jessamine,Absentee Mail-In,U.S. House,6,James Germalic,,,,0
Jessamine,Absentee Mail-In,State Senate,22,Tom Buford,,,,87
Jessamine,Absentee Mail-In,State Senate,22,Carolyn Dupont,,,,52
Jessamine,Absentee Mail-In,State House,39,Russ Meyer,,,,107
Jessamine,Absentee Walk-In,Straight Party,,,REP,,,178
Jessamine,Absentee Walk-In,Straight Party,,,DEM,,,98
Jessamine,Absentee Walk-In,Straight Party,,,LIB,,,1
Jessamine,Absentee Walk-In,U.S. House,6,Andy Barr,,,,456
Jessamine,Absentee Walk-In,U.S. House,6,Amy McGrath,,,,253
Jessamine,Absentee Walk-In,U.S. House,6,Frank Harris,,,,4
Jessamine,Absentee Walk-In,U.S. House,6,Rikka L. Wallin,,,,0
Jessamine,Absentee Walk-In,U.S. House,6,James Germalic,,,,2
Jessamine,Absentee Walk-In,State Senate,22,Tom Buford,,,,504
Jessamine,Absentee Walk-In,State Senate,22,Carolyn Dupont,,,,202
Jessamine,Absentee Walk-In,State House,39,Russ Meyer,,,,464
Jessamine,East Nicholasville #1,Straight Party,,,REP,0,68,68
Jessamine,East Nicholasville #1,Straight Party,,,DEM,0,53,53
Jessamine,East Nicholasville #1,Straight Party,,,LIB,0,3,3
Jessamine,East Nicholasville #1,U.S. House,6,Andy Barr,,0,115,115
Jessamine,East Nicholasville #1,U.S. House,6,Amy McGrath,,0,111,111
Jessamine,East Nicholasville #1,U.S. House,6,Frank Harris,,0,1,1
Jessamine,East Nicholasville #1,U.S. House,6,Rikka L. Wallin,,0,0,0
Jessamine,East Nicholasville #1,U.S. House,6,James Germalic,,0,1,1
