county,precinct,office,district,party,candidate,votes,eslate,escan
Powell,A101,U.S. House,6,REP,Andy BARR,269,,
Powell,A102,U.S. House,6,REP,Andy BARR,362,,
Powell,B101,U.S. House,6,REP,Andy BARR,192,,
Powell,B102,U.S. House,6,REP,Andy BARR,382,,
Powell,C101,U.S. House,6,REP,Andy BARR,213,,
Powell,C102,U.S. House,6,REP,Andy BARR,259,,
Powell,D101,U.S. House,6,REP,Andy BARR,336,,
Powell,D102,U.S. House,6,REP,Andy BARR,120,,
Powell,D103,U.S. House,6,REP,Andy BARR,73,,
Powell,E101,U.S. House,6,REP,Andy BARR,347,,
Powell,E102,U.S. House,6,REP,Andy BARR,328,,
Powell,Absentee,U.S. House,6,REP,Andy BARR,298,223,75
Powell,A101,U.S. House,6,DEM,Amy McGRATH,140,,
Powell,A102,U.S. House,6,DEM,Amy McGRATH,163,,
Powell,B101,U.S. House,6,DEM,Amy McGRATH,99,,
Powell,B102,U.S. House,6,DEM,Amy McGRATH,149,,
Powell,C101,U.S. House,6,DEM,Amy McGRATH,131,,
Powell,C102,U.S. House,6,DEM,Amy McGRATH,160,,
Powell,D101,U.S. House,6,DEM,Amy McGRATH,185,,
Powell,D102,U.S. House,6,DEM,Amy McGRATH,103,,
Powell,D103,U.S. House,6,DEM,Amy McGRATH,43,,
Powell,E101,U.S. House,6,DEM,Amy McGRATH,146,,
Powell,E102,U.S. House,6,DEM,Amy McGRATH,147,,
Powell,Absentee,U.S. House,6,DEM,Amy McGRATH,205,124,81
Powell,A101,U.S. House,6,LIB,Frank HARRIS,7,,
Powell,A102,U.S. House,6,LIB,Frank HARRIS,4,,
Powell,B101,U.S. House,6,LIB,Frank HARRIS,5,,
Powell,B102,U.S. House,6,LIB,Frank HARRIS,3,,
Powell,C101,U.S. House,6,LIB,Frank HARRIS,6,,
Powell,C102,U.S. House,6,LIB,Frank HARRIS,3,,
Powell,D101,U.S. House,6,LIB,Frank HARRIS,4,,
Powell,D102,U.S. House,6,LIB,Frank HARRIS,2,,
Powell,D103,U.S. House,6,LIB,Frank HARRIS,2,,
Powell,E101,U.S. House,6,LIB,Frank HARRIS,7,,
Powell,E102,U.S. House,6,LIB,Frank HARRIS,2,,
Powell,Absentee,U.S. House,6,LIB,Frank HARRIS,7,5,2
Powell,A101,U.S. House,6,IND,Rikka L. WALLIN,2,,
Powell,A102,U.S. House,6,IND,Rikka L. WALLIN,2,,
Powell,B101,U.S. House,6,IND,Rikka L. WALLIN,2,,
Powell,B102,U.S. House,6,IND,Rikka L. WALLIN,4,,
Powell,C101,U.S. House,6,IND,Rikka L. WALLIN,2,,
Powell,C102,U.S. House,6,IND,Rikka L. WALLIN,1,,
Powell,D101,U.S. House,6,IND,Rikka L. WALLIN,0,,
Powell,D102,U.S. House,6,IND,Rikka L. WALLIN,2,,
Powell,D103,U.S. House,6,IND,Rikka L. WALLIN,0,,
Powell,E101,U.S. House,6,IND,Rikka L. WALLIN,3,,
Powell,E102,U.S. House,6,IND,Rikka L. WALLIN,3,,
Powell,Absentee,U.S. House,6,IND,Rikka L. WALLIN,1,1,0
Powell,A101,U.S. House,6,IND,James GERMALIC,5,,
Powell,A102,U.S. House,6,IND,James GERMALIC,0,,
Powell,B101,U.S. House,6,IND,James GERMALIC,1,,
Powell,B102,U.S. House,6,IND,James GERMALIC,2,,
Powell,C101,U.S. House,6,IND,James GERMALIC,0,,
Powell,C102,U.S. House,6,IND,James GERMALIC,3,,
Powell,D101,U.S. House,6,IND,James GERMALIC,0,,
Powell,D102,U.S. House,6,IND,James GERMALIC,0,,
Powell,D103,U.S. House,6,IND,James GERMALIC,1,,
Powell,E101,U.S. House,6,IND,James GERMALIC,3,,
Powell,E102,U.S. House,6,IND,James GERMALIC,1,,
Powell,Absentee,U.S. House,6,IND,James GERMALIC,0,0,0
Powell,A101,State Representative,74,REP,David HALE,222,,
Powell,A102,State Representative,74,REP,David HALE,274,,
Powell,B101,State Representative,74,REP,David HALE,140,,
Powell,B102,State Representative,74,REP,David HALE,290,,
Powell,C101,State Representative,74,REP,David HALE,158,,
