candidate,office,district,party,county,precinct,eslate,escan,absentee_mail,absentee,votes
S Brett Guthrie,U.S. House,2,,Mercer,Perryville Toll Gate,1,634,,,635
Hank Linderman,U.S. House,2,,Mercer,Perryville Toll Gate,1,213,,,214
Thomas a Loecken,U.S. House,2,,Mercer,Perryville Toll Gate,1,10,,,11
Tom Buford,State Senate,22,,Mercer,Perryville Toll Gate,1,609,,,610
Carolyn Dupont,State Senate,22,,Mercer,Perryville Toll Gate,1,255,,,256
Kim King,State Representative,55,,Mercer,Perryville Toll Gate,1,582,,,583
Cathy Carter,State Representative,55,,Mercer,Perryville Toll Gate,1,310,,,311
S Brett Guthrie,U.S. House,2,,Mercer,Dixville,2,99,,,101
Hank Linderman,U.S. House,2,,Mercer,Dixville,1,35,,,36
Thomas a Loecken,U.S. House,2,,Mercer,Dixville,0,6,,,6
Tom Buford,State Senate,22,,Mercer,Dixville,2,101,,,103
Carolyn Dupont,State Senate,22,,Mercer,Dixville,1,39,,,40
Kim King,State Representative,55,,Mercer,Dixville,2,98,,,100
Cathy Carter,State Representative,55,,Mercer,Dixville,1,49,,,50
S Brett Guthrie,U.S. House,2,,Mercer,Rose Hill,,321,,,321
Hank Linderman,U.S. House,2,,Mercer,Rose Hill,,86,,,86
Thomas a Loecken,U.S. House,2,,Mercer,Rose Hill,,11,,,11
Tom Buford,State Senate,22,,Mercer,Rose Hill,,321,,,321
Carolyn Dupont,State Senate,22,,Mercer,Rose Hill,,96,,,96
Kim King,State Representative,55,,Mercer,Rose Hill,,301,,,301
Cathy Carter,State Representative,55,,Mercer,Rose Hill,,136,,,136
S Brett Guthrie,U.S. House,2,,Mercer,Cornishville,,79,,,79
Hank Linderman,U.S. House,2,,Mercer,Cornishville,,30,,,30
Thomas a Loecken,U.S. House,2,,Mercer,Cornishville,,4,,,4
Tom Buford,State Senate,22,,Mercer,Cornishville,,83,,,83
Carolyn Dupont,State Senate,22,,Mercer,Cornishville,,31,,,31
Kim King,State Representative,55,,Mercer,Cornishville,,81,,,81
Cathy Carter,State Representative,55,,Mercer,Cornishville,,39,,,39
S Brett Guthrie,U.S. House,2,,Mercer,Terrapin,,173,,,173
Hank Linderman,U.S. House,2,,Mercer,Terrapin,,33,,,33
Thomas a Loecken,U.S. House,2,,Mercer,Terrapin,,3,,,3
Tom Buford,State Senate,22,,Mercer,Terrapin,,165,,,165
Carolyn Dupont,State Senate,22,,Mercer,Terrapin,,46,,,46
Kim King,State Representative,55,,Mercer,Terrapin,,164,,,164
Cathy Carter,State Representative,55,,Mercer,Terrapin,,53,,,53
S Brett Guthrie,U.S. House,2,,Mercer,Salvisa,,433,,,433
Hank Linderman,U.S. House,2,,Mercer,Salvisa,,165,,,165
Thomas a Loecken,U.S. House,2,,Mercer,Salvisa,,18,,,18
Tom Buford,State Senate,22,,Mercer,Salvisa,,436,,,436
Carolyn Dupont,State Senate,22,,Mercer,Salvisa,,181,,,181
Kim King,State Representative,55,,Mercer,Salvisa,,413,,,413
Cathy Carter,State Representative,55,,Mercer,Salvisa,,211,,,211
S Brett Guthrie,U.S. House,2,,Mercer,Bohon,,262,,,262
Hank Linderman,U.S. House,2,,Mercer,Bohon,,81,,,81
Thomas a Loecken,U.S. House,2,,Mercer,Bohon,,3,,,3
Tom Buford,State Senate,22,,Mercer,Bohon,,254,,,254
Carolyn Dupont,State Senate,22,,Mercer,Bohon,,94,,,94
Kim King,State Representative,55,,Mercer,Bohon,,237,,,237
Cathy Carter,State Representative,55,,Mercer,Bohon,,120,,,120
S Brett Guthrie,U.S. House,2,,Mercer,Duncan,,110,,,110
Hank Linderman,U.S. House,2,,Mercer,Duncan,,33,,,33
Thomas a Loecken,U.S. House,2,,Mercer,Duncan,,2,,,2
Tom Buford,State Senate,22,,Mercer,Duncan,,115,,,115
Carolyn Dupont,State Senate,22,,Mercer,Duncan,,29,,,29
Kim King,State Representative,55,,Mercer,Duncan,,114,,,114
Cathy Carter,State Representative,55,,Mercer,Duncan,,38,,,38
S Brett Guthrie,U.S. House,2,,Mercer,McAfee,2,507,,,509
Hank Linderman,U.S. House,2,,Mercer,McAfee,1,145,,,146
Thomas a Loecken,U.S. House,2,,Mercer,McAfee,0,22,,,22
