county,precinct,office,district,candidate,party,votes,election_day,absentee,av_counting_boards,early_voting,mail,provisional,pre_process_absentee
Bracken,A101,President,,Donald J. TRUMP,REP,471,293,178,,0,,,
Bracken,A101,President,,Kamala D. HARRIS,DEM,103,51,52,,0,,,
Bracken,A101,President,,Jill STEIN,KY,0,0,0,,0,,,
Bracken,A101,President,,Robert F. KENNEDY JR.,IND,6,5,1,,0,,,
Bracken,A101,President,,Shiva AYYADURAI,IND,0,0,0,,0,,,
Bracken,A101,President,,Chase OLIVER,LIB,2,1,1,,0,,,
Bracken,A101,President,,Write-ins,,2,2,0,,0,,,
Bracken,A101,President,,Under Votes,,1,1,0,,0,,,
Bracken,A101,President,,Over Votes,,0,0,0,,0,,,
Bracken,A101,U.S. House,4,Thomas MASSIE,REP,503,315,188,,0,,,
Bracken,A101,U.S. House,4,Write-ins,,3,3,0,,0,,,
Bracken,A101,U.S. House,4,Under Votes,,79,35,44,,0,,,
Bracken,A101,U.S. House,4,Over Votes,,0,0,0,,0,,,
Bracken,A101,State House,70,William Lee LAWRENCE,REP,506,315,191,,0,,,
Bracken,A101,State House,70,Under Votes,,78,38,40,,0,,,
Bracken,A101,State House,70,Over Votes,,1,0,1,,0,,,
Bracken,B101,President,,Donald J. TRUMP,REP,335,215,120,,0,,,
Bracken,B101,President,,Kamala D. HARRIS,DEM,108,54,54,,0,,,
Bracken,B101,President,,Jill STEIN,KY,0,0,0,,0,,,
Bracken,B101,President,,Robert F. KENNEDY JR.,IND,1,1,0,,0,,,
Bracken,B101,President,,Shiva AYYADURAI,IND,1,1,0,,0,,,
Bracken,B101,President,,Chase OLIVER,LIB,1,1,0,,0,,,
Bracken,B101,President,,Write-ins,,0,0,0,,0,,,
Bracken,B101,President,,Under Votes,,0,0,0,,0,,,
Bracken,B101,President,,Over Votes,,1,1,0,,0,,,
Bracken,B101,U.S. House,4,Thomas MASSIE,REP,344,224,120,,0,,,
Bracken,B101,U.S. House,4,Write-ins,,0,0,0,,0,,,
Bracken,B101,U.S. House,4,Under Votes,,103,49,54,,0,,,
Bracken,B101,U.S. House,4,Over Votes,,0,0,0,,0,,,
Bracken,B101,State House,70,William Lee LAWRENCE,REP,344,221,123,,0,,,
Bracken,B101,State House,70,Under Votes,,103,52,51,,0,,,
Bracken,B101,State House,70,Over Votes,,0,0,0,,0,,,
Bracken,C101,President,,Donald J. TRUMP,REP,384,298,86,,0,,,
Bracken,C101,President,,Kamala D. HARRIS,DEM,109,73,36,,0,,,
Bracken,C101,President,,Jill STEIN,KY,3,3,0,,0,,,
Bracken,C101,President,,Robert F. KENNEDY JR.,IND,1,1,0,,0,,,
Bracken,C101,President,,Shiva AYYADURAI,IND,2,2,0,,0,,,
Bracken,C101,President,,Chase OLIVER,LIB,1,1,0,,0,,,
Bracken,C101,President,,Write-ins,,0,0,0,,0,,,
Bracken,C101,President,,Under Votes,,1,1,0,,0,,,
Bracken,C101,President,,Over Votes,,1,1,0,,0,,,
Bracken,C101,U.S. House,4,Thomas MASSIE,REP,403,312,91,,0,,,
Bracken,C101,U.S. House,4,Write-ins,,0,0,0,,0,,,
Bracken,C101,U.S. House,4,Under Votes,,99,68,31,,0,,,
Bracken,C101,U.S. House,4,Over Votes,,0,0,0,,0,,,
Bracken,C101,State House,70,William Lee LAWRENCE,REP,398,308,90,,0,,,
Bracken,C101,State House,70,Under Votes,,104,72,32,,0,,,
Bracken,C101,State House,70,Over Votes,,0,0,0,,0,,,
Bracken,D101,President,,Donald J. TRUMP,REP,486,260,226,,0,,,
Bracken,D101,President,,Kamala D. HARRIS,DEM,70,29,41,,0,,,
Bracken,D101,President,,Jill STEIN,KY,0,0,0,,0,,,
Bracken,D101,President,,Robert F. KENNEDY JR.,IND,5,3,2,,0,,,
Bracken,D101,President,,Shiva AYYADURAI,IND,0,0,0,,0,,,
Bracken,D101,President,,Chase OLIVER,LIB,0,0,0,,0,,,
Bracken,D101,President,,Write-ins,,0,0,0,,0,,,
Bracken,D101,President,,Under Votes,,2,2,0,,0,,,
Bracken,D101,President,,Over Votes,,1,0,1,,0,,,
Bracken,D101,U.S. House,4,Thomas MASSIE,REP,492,265,227,,0,,,
Bracken,D101,U.S. House,4,Write-ins,,0,0,0,,0,,,
Bracken,D101,U.S. House,4,Under Votes,,72,29,43,,0,,,
Bracken,D101,U.S. House,4,Over Votes,,0,0,0,,0,,,
Bracken,D101,State House,70,William Lee LAWRENCE,REP,480,259,221,,0,,,
Bracken,D101,State House,70,Under Votes,,84,35,49,,0,,,
Bracken,D101,State House,70,Over Votes,,0,0,0,,0,,,
Bracken,E101,President,,Donald J. TRUMP,REP,463,304,159,,0,,,
Bracken,E101,President,,Kamala D. HARRIS,DEM,87,43,44,,0,,,
Bracken,E101,President,,Jill STEIN,KY,2,0,2,,0,,,
Bracken,E101,President,,Robert F. KENNEDY JR.,IND,1,0,1,,0,,,
Bracken,E101,President,,Shiva AYYADURAI,IND,0,0,0,,0,,,
Bracken,E101,President,,Chase OLIVER,LIB,0,0,0,,0,,,
Bracken,E101,President,,Write-ins,,0,0,0,,0,,,
Bracken,E101,President,,Under Votes,,8,3,5,,0,,,
Bracken,E101,President,,Over Votes,,0,0,0,,0,,,
Bracken,E101,U.S. House,4,Thomas MASSIE,REP,471,303,168,,0,,,
Bracken,E101,U.S. House,4,Write-ins,,0,0,0,,0,,,
Bracken,E101,U.S. House,4,Under Votes,,90,47,43,,0,,,
Bracken,E101,U.S. House,4,Over Votes,,0,0,0,,0,,,
Bracken,E101,State House,70,William Lee LAWRENCE,REP,479,310,169,,0,,,
Bracken,E101,State House,70,Under Votes,,82,40,42,,0,,,
Bracken,E101,State House,70,Over Votes,,0,0,0,,0,,,
Bracken,F101,President,,Donald J. TRUMP,REP,443,287,156,,0,,,
Bracken,F101,President,,Kamala D. HARRIS,DEM,69,38,31,,0,,,
Bracken,F101,President,,Jill STEIN,KY,0,0,0,,0,,,
Bracken,F101,President,,Robert F. KENNEDY JR.,IND,1,0,1,,0,,,
Bracken,F101,President,,Shiva AYYADURAI,IND,0,0,0,,0,,,
Bracken,F101,President,,Chase OLIVER,LIB,2,1,1,,0,,,
Bracken,F101,President,,Write-ins,,1,1,0,,0,,,
Bracken,F101,President,,Under Votes,,4,1,3,,0,,,
Bracken,F101,President,,Over Votes,,0,0,0,,0,,,
Bracken,F101,U.S. House,4,Thomas MASSIE,REP,446,288,158,,0,,,
Bracken,F101,U.S. House,4,Write-ins,,0,0,0,,0,,,
Bracken,F101,U.S. House,4,Under Votes,,73,39,34,,0,,,
Bracken,F101,U.S. House,4,Over Votes,,1,1,0,,0,,,
Bracken,F101,State House,70,William Lee LAWRENCE,REP,448,290,158,,0,,,
Bracken,F101,State House,70,Under Votes,,72,38,34,,0,,,
Bracken,F101,State House,70,Over Votes,,0,0,0,,0,,,
Bracken,G101,President,,Donald J. TRUMP,REP,410,265,145,,0,,,
Bracken,G101,President,,Kamala D. HARRIS,DEM,71,34,37,,0,,,
Bracken,G101,President,,Jill STEIN,KY,3,3,0,,0,,,
Bracken,G101,President,,Robert F. KENNEDY JR.,IND,5,5,0,,0,,,
Bracken,G101,President,,Shiva AYYADURAI,IND,3,0,3,,0,,,
Bracken,G101,President,,Chase OLIVER,LIB,2,0,2,,0,,,
Bracken,G101,President,,Write-ins,,4,2,2,,0,,,
Bracken,G101,President,,Under Votes,,3,1,2,,0,,,
Bracken,G101,President,,Over Votes,,0,0,0,,0,,,
Bracken,G101,U.S. House,4,Thomas MASSIE,REP,446,279,167,,0,,,
Bracken,G101,U.S. House,4,Write-ins,,0,0,0,,0,,,
Bracken,G101,U.S. House,4,Under Votes,,55,31,24,,0,,,
Bracken,G101,U.S. House,4,Over Votes,,0,0,0,,0,,,
Bracken,G101,State House,70,William Lee LAWRENCE,REP,434,271,163,,0,,,
Bracken,G101,State House,70,Under Votes,,67,39,28,,0,,,
Bracken,G101,State House,70,Over Votes,,0,0,0,,0,,,
Bracken,H101,President,,Donald J. TRUMP,REP,407,299,108,,0,,,
Bracken,H101,President,,Kamala D. HARRIS,DEM,85,53,32,,0,,,
Bracken,H101,President,,Jill STEIN,KY,0,0,0,,0,,,
Bracken,H101,President,,Robert F. KENNEDY JR.,IND,2,1,1,,0,,,
Bracken,H101,President,,Shiva AYYADURAI,IND,1,1,0,,0,,,
Bracken,H101,President,,Chase OLIVER,LIB,0,0,0,,0,,,
Bracken,H101,President,,Write-ins,,0,0,0,,0,,,
Bracken,H101,President,,Under Votes,,3,3,0,,0,,,
Bracken,H101,President,,Over Votes,,1,1,0,,0,,,
Bracken,H101,U.S. House,4,Thomas MASSIE,REP,418,305,113,,0,,,
Bracken,H101,U.S. House,4,Write-ins,,0,0,0,,0,,,
Bracken,H101,U.S. House,4,Under Votes,,80,52,28,,0,,,
Bracken,H101,U.S. House,4,Over Votes,,1,1,0,,0,,,
Bracken,H101,State House,70,William Lee LAWRENCE,REP,420,302,118,,0,,,
Bracken,H101,State House,70,Under Votes,,79,56,23,,0,,,
Bracken,H101,State House,70,Over Votes,,0,0,0,,0,,,
Carter,A101,President,,Donald J. TRUMP,REP,486,314,31,,141,,,
Carter,A101,President,,Kamala D. HARRIS,DEM,139,96,13,,30,,,
Carter,A101,President,,Jill STEIN,KY,4,4,0,,0,,,
Carter,A101,President,,Robert F. KENNEDY JR.,IND,11,5,3,,3,,,
Carter,A101,President,,Shiva AYYADURAI,IND,0,0,0,,0,,,
Carter,A101,President,,Chase OLIVER,LIB,1,1,0,,0,,,
Carter,A101,President,,Andre McNeil and Roschelle McNeil,,0,0,0,,0,,,
Carter,A101,President,,Write-ins,,0,0,0,,0,,,
Carter,A101,President,,Under Votes,,2,1,0,,1,,,
Carter,A101,President,,Over Votes,,0,0,0,,0,,,
Carter,A101,U.S. House,5,Hal ROGERS,REP,502,318,39,,145,,,
Carter,A101,U.S. House,5,Under Votes,,140,102,8,,30,,,
Carter,A101,U.S. House,5,Over Votes,,1,1,0,,0,,,
Carter,A101,State House,96,Patrick FLANNERY,REP,504,325,38,,141,,,
