candidate,office,district,party,county,precinct,eslate,escan,absentee_mail,absentee_escan,absentee_eslate,votes,
,Straight Party,,REP,Grant,Grant County #1,35,52,,,,87,
,Straight Party,,DEM,Grant,Grant County #1,7,28,,,,35,
Thomas Massie,U.S. House,4,,Grant,Grant County #1,100,162,,,,262,
Seth Hall,U.S. House,4,,Grant,Grant County #1,38,81,,,,119,
Mike Moffett,U.S. House,4,,Grant,Grant County #1,7,12,,,,19,
Savannah Maddox,State Representative,61,,Grant,Grant County #1,91,148,,,,239,
Darrell L. Link,State Representative,61,,Grant,Grant County #1,56,113,,,,169,
,Straight Party,,REP,Grant,Grant County #2,33,32,,,,65,
,Straight Party,,DEM,Grant,Grant County #2,6,12,,,,18,
Thomas Massie,U.S. House,4,,Grant,Grant County #2,79,85,,,,164,
Seth Hall,U.S. House,4,,Grant,Grant County #2,24,31,,,,55,
Mike Moffett,U.S. House,4,,Grant,Grant County #2,4,6,,,,10,
Savannah Maddox,State Representative,61,,Grant,Grant County #2,78,86,,,,164,
Darrell L. Link,State Representative,61,,Grant,Grant County #2,33,39,,,,72,
,Straight Party,,REP,Grant,Grant County #3,34,69,,,,103,
,Straight Party,,DEM,Grant,Grant County #3,8,21,,,,29,
Thomas Massie,U.S. House,4,,Grant,Grant County #3,111,182,,,,293,
Seth Hall,U.S. House,4,,Grant,Grant County #3,29,83,,,,112,
Mike Moffett,U.S. House,4,,Grant,Grant County #3,7,8,,,,15,
Savannah Maddox,State Representative,61,,Grant,Grant County #3,90,167,,,,257,
Darrell L. Link,State Representative,61,,Grant,Grant County #3,55,113,,,,168,
,Straight Party,,REP,Grant,Grant County #9,22,55,,,,77,
,Straight Party,,DEM,Grant,Grant County #9,22,17,,,,39,
Thomas Massie,U.S. House,4,,Grant,Grant County #9,52,118,,,,170,
Seth Hall,U.S. House,4,,Grant,Grant County #9,28,43,,,,71,
Mike Moffett,U.S. House,4,,Grant,Grant County #9,4,5,,,,9,
Savannah Maddox,State Representative,61,,Grant,Grant County #9,56,118,,,,174,
Darrell L. Link,State Representative,61,,Grant,Grant County #9,31,49,,,,80,
,Straight Party,,REP,Grant,Grant County #8,30,110,,,,140,
,Straight Party,,DEM,Grant,Grant County #8,11,30,,,,41,
Thomas Massie,U.S. House,4,,Grant,Grant County #8,80,252,,,,332,
Seth Hall,U.S. House,4,,Grant,Grant County #8,26,73,,,,99,
Mike Moffett,U.S. House,4,,Grant,Grant County #8,1,11,,,,12,
Savannah Maddox,State Representative,61,,Grant,Grant County #8,70,221,,,,291,
Darrell L. Link,State Representative,61,,Grant,Grant County #8,41,122,,,,163,
,Straight Party,,REP,Grant,Grant County #19,43,69,,,,112,
,Straight Party,,DEM,Grant,Grant County #19,13,14,,,,27,
Thomas Massie,U.S. House,4,,Grant,Grant County #19,97,144,,,,241,
Seth Hall,U.S. House,4,,Grant,Grant County #19,22,32,,,,54,
Mike Moffett,U.S. House,4,,Grant,Grant County #19,1,9,,,,10,
Savannah Maddox,State Representative,61,,Grant,Grant County #19,83,148,,,,231,
Darrell L. Link,State Representative,61,,Grant,Grant County #19,39,42,,,,81,
,Straight Party,,REP,Grant,Grant County #20,22,46,,,,68,
,Straight Party,,DEM,Grant,Grant County #20,12,21,,,,33,
Thomas Massie,U.S. House,4,,Grant,Grant County #20,80,141,,,,221,
Seth Hall,U.S. House,4,,Grant,Grant County #20,47,66,,,,113,
Mike Moffett,U.S. House,4,,Grant,Grant County #20,4,5,,,,9,
Savannah Maddox,State Representative,61,,Grant,Grant County #20,70,112,,,,182,
Darrell L. Link,State Representative,61,,Grant,Grant County #20,70,106,,,,176,
,Straight Party,,REP,Grant,Grant County #5,37,73,,,,110,
,Straight Party,,DEM,Grant,Grant County #5,11,22,,,,33,
