candidate,office,district,party,county,precinct,eslate,escan,votes
,Straight Party,,REP,Henry,East Eminence,16,67,83
,Straight Party,,DEM,Henry,East Eminence,22,67,89
Thomas Massie,U.S. House,4,,Henry,East Eminence,57,186,243
Seth Hall,U.S. House,4,,Henry,East Eminence,42,149,191
Mike Moffett,U.S. House,4,,Henry,East Eminence,2,17,19
Paul R. Hornback,State Senate,20,,Henry,East Eminence,38,165,203
Dave Suetholz,State Senate,20,,Henry,East Eminence,65,198,263
Mark A Gilkison,State Representative,47,,Henry,East Eminence,44,146,190
Rick W. Rand,State Representative,47,,Henry,East Eminence,58,214,272
,Straight Party,,REP,Henry,West Eminence,19,63,82
,Straight Party,,DEM,Henry,West Eminence,15,47,62
Thomas Massie,U.S. House,4,,Henry,West Eminence,62,143,205
Seth Hall,U.S. House,4,,Henry,West Eminence,33,124,157
Mike Moffett,U.S. House,4,,Henry,West Eminence,2,10,12
Paul R. Hornback,State Senate,20,,Henry,West Eminence,51,145,196
Dave Suetholz,State Senate,20,,Henry,West Eminence,50,144,194
Mark A Gilkison,State Representative,47,,Henry,West Eminence,46,125,171
Rick W. Rand,State Representative,47,,Henry,West Eminence,53,161,214
,Straight Party,,REP,Henry,South Smithfield,12,25,37
,Straight Party,,DEM,Henry,South Smithfield,9,14,23
Thomas Massie,U.S. House,4,,Henry,South Smithfield,37,67,104
Seth Hall,U.S. House,4,,Henry,South Smithfield,21,43,64
Mike Moffett,U.S. House,4,,Henry,South Smithfield,3,1,4
Paul R. Hornback,State Senate,20,,Henry,South Smithfield,31,58,89
Dave Suetholz,State Senate,20,,Henry,South Smithfield,32,54,86
Mark A Gilkison,State Representative,47,,Henry,South Smithfield,27,57,84
Rick W. Rand,State Representative,47,,Henry,South Smithfield,34,55,89
,Straight Party,,REP,Henry,Smithfield,49,141,190
,Straight Party,,DEM,Henry,Smithfield,14,65,79
Thomas Massie,U.S. House,4,,Henry,Smithfield,82,318,400
Seth Hall,U.S. House,4,,Henry,Smithfield,26,134,160
Mike Moffett,U.S. House,4,,Henry,Smithfield,4,4,8
Paul R. Hornback,State Senate,20,,Henry,Smithfield,77,299,376
Dave Suetholz,State Senate,20,,Henry,Smithfield,37,156,193
Mark A Gilkison,State Representative,47,,Henry,Smithfield,75,271,346
Rick W. Rand,State Representative,47,,Henry,Smithfield,39,190,229
,Straight Party,,REP,Henry,South Pendleton,15,41,56
,Straight Party,,DEM,Henry,South Pendleton,12,18,30
