candidate,office,district,party,county,precinct,eslate,escan,absentee_mail,absentee,votes
,Straight Party,,REP,Calloway,Courthouse,8,38,,,46
,Straight Party,,DEM,Calloway,Courthouse,9,94,,,103
,Straight Party,,Veterans Party of America,Calloway,Courthouse,2,1,,,3
James R Comer,US House,1,,Calloway,Courthouse,29,139,,,168
Paul Walker,US House,1,,Calloway,Courthouse,27,236,,,263
Larry Elkins,State Representative,5,,Calloway,Courthouse,25,121,,,146
David Ramey,State Representative,5,,Calloway,Courthouse,31,259,,,290
,Straight Party,,REP,Calloway,CFSB Center,0,27,,,27
,Straight Party,,DEM,Calloway,CFSB Center,0,55,,,55
,Straight Party,,Veterans Party of America,Calloway,CFSB Center,0,1,,,1
James R Comer,US House,1,,Calloway,CFSB Center,0,56,,,56
Paul Walker,US House,1,,Calloway,CFSB Center,0,114,,,114
Larry Elkins,State Representative,5,,Calloway,CFSB Center,0,52,,,52
David Ramey,State Representative,5,,Calloway,CFSB Center,0,120,,,120
,Straight Party,,REP,Calloway,Elm Grove Baptist Church,0,263,,,263
,Straight Party,,DEM,Calloway,Elm Grove Baptist Church,1,70,,,71
,Straight Party,,Veterans Party of America,Calloway,Elm Grove Baptist Church,0,2,,,2
James R Comer,US House,1,,Calloway,Elm Grove Baptist Church,1,654,,,655
Paul Walker,US House,1,,Calloway,Elm Grove Baptist Church,2,223,,,225
Larry Elkins,State Representative,5,,Calloway,Elm Grove Baptist Church,1,606,,,607
David Ramey,State Representative,5,,Calloway,Elm Grove Baptist Church,2,269,,,271
,Straight Party,,REP,Calloway,Cains Murray Auto Auction,0,142,,,142
,Straight Party,,DEM,Calloway,Cains Murray Auto Auction,0,72,,,72
,Straight Party,,Veterans Party of America,Calloway,Cains Murray Auto Auction,0,0,,,0
James R Comer,US House,1,,Calloway,Cains Murray Auto Auction,0,430,,,430
Paul Walker,US House,1,,Calloway,Cains Murray Auto Auction,0,218,,,218
Larry Elkins,State Representative,5,,Calloway,Cains Murray Auto Auction,0,408,,,408
David Ramey,State Representative,5,,Calloway,Cains Murray Auto Auction,0,239,,,239
,Straight Party,,REP,Calloway,Hope Harbor Church,0,85,,,85
,Straight Party,,DEM,Calloway,Hope Harbor Church,0,41,,,41
,Straight Party,,Veterans Party of America,Calloway,Hope Harbor Church,0,0,,,0
James R Comer,US House,1,,Calloway,Hope Harbor Church,0,263,,,263
Paul Walker,US House,1,,Calloway,Hope Harbor Church,0,117,,,117
Larry Elkins,State Representative,5,,Calloway,Hope Harbor Church,0,250,,,250
David Ramey,State Representative,5,,Calloway,Hope Harbor Church,0,128,,,128
,Straight Party,,REP,Calloway,First Baptist Church,1,72,,,73
,Straight Party,,DEM,Calloway,First Baptist Church,0,82,,,82
,Straight Party,,Veterans Party of America,Calloway,First Baptist Church,0,0,,,0
James R Comer,US House,1,,Calloway,First Baptist Church,1,178,,,179
Paul Walker,US House,1,,Calloway,First Baptist Church,0,202,,,202
Larry Elkins,State Representative,5,,Calloway,First Baptist Church,1,177,,,178
David Ramey,State Representative,5,,Calloway,First Baptist Church,0,210,,,210
,Straight Party,,REP,Calloway,New Concord Church of Christ,0,98,,,98
,Straight Party,,DEM,Calloway,New Concord Church of Christ,0,54,,,54
,Straight Party,,Veterans Party of America,Calloway,New Concord Church of Christ,0,0,,,0
James R Comer,US House,1,,Calloway,New Concord Church of Christ,0,270,,,270
